   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.73001,             0.54839,             0.61402,             0.30592,            0.051236,             0.00565,                   0,             0.00803,             0.10067,                0.98,             0.00083,              3.6716,                0.95,             0.09388,             0.05073,             0.58947,             0.90813,              1.3147,              1.5355,                 0.2,              4.1055,                   0,               0.017,             0.69832,             0.36637,                   0,             0.08773,             0.61527,                   0,                   0,                   0,                 0.5,             0.98015,                   0,                   0,              2.3967
             0.76243,             0.60233,             0.66722,             0.35567,            0.041627,            0.003611,                   0,             0.00855,             0.10489,             0.90572,             0.00083,              4.0908,             0.78202,             0.09847,             0.04494,             0.56533,             0.87807,              1.0258,               1.269,                 0.2,              4.1055,                   0,             0.01362,             0.78289,              0.4715,                   0,             0.09133,             0.52087,                   0,                   0,                   0,                 0.5,             0.98015,                   0,                   0,              2.6304
             0.72979,             0.60987,             0.66395,             0.33566,            0.057872,           0.0038706,                   0,             0.00814,             0.09183,             0.90055,             0.00083,              3.5787,             0.73248,             0.10195,             0.06082,             0.49324,             0.82753,                1.22,              1.0653,                 0.2,              3.7729,                   0,             0.01438,             0.54606,             0.46254,                   0,             0.09907,             0.48784,                   0,                   0,                   0,                 0.5,             0.98015,                   0,                   0,               3.098
             0.81462,             0.54839,             0.65632,             0.31792,            0.049585,           0.0039836,                   0,             0.00924,             0.11413,             0.92214,             0.00086,              3.8887,             0.84045,             0.10325,             0.05044,             0.60432,             0.84226,              1.1144,              1.3181,                 0.2,              4.0814,                   0,             0.01494,             0.66657,             0.42461,                   0,             0.09004,             0.48206,                   0,                   0,                   0,                 0.5,             0.98275,                   0,                   0,              2.4127
             0.76408,             0.55132,             0.64735,             0.32614,            0.048107,           0.0036663,                   0,             0.00945,             0.11413,             0.93141,             0.00077,              3.7306,             0.84477,             0.09351,             0.04995,             0.61959,             0.80332,              1.0993,              1.1347,                 0.2,              4.2373,                   0,             0.01517,             0.68888,             0.35266,                   0,             0.08485,             0.48269,                   0,                   0,                   0,                 0.5,             0.94478,                   0,                   0,              2.9606
             0.71705,             0.56891,             0.61917,             0.30517,            0.048275,           0.0040543,                   0,             0.00861,             0.11422,             0.96717,             0.00083,              4.2566,             0.89503,             0.10887,             0.04934,             0.64768,              0.8406,              1.0903,              1.3746,                 0.2,              3.8456,                   0,             0.01362,             0.68244,             0.42417,                   0,             0.08773,             0.48386,                   0,                   0,                   0,                 0.5,             0.98798,                   0,                   0,              2.5667
              0.7693,             0.57625,             0.66316,              0.3504,            0.046193,           0.0039212,                   0,             0.00943,             0.11413,             0.93141,             0.00083,              3.7972,             0.85688,             0.10108,             0.04938,             0.59444,             0.82753,              1.1113,              1.2918,                 0.2,              4.1235,                   0,             0.01438,              0.6807,              0.4307,                   0,             0.08773,             0.48386,                   0,                   0,                   0,                 0.5,             0.98083,                   0,                   0,              2.6119
             0.78965,             0.58898,             0.67394,             0.34227,            0.048512,           0.0038526,                   0,             0.00945,             0.11413,             0.92736,             0.00083,              3.7112,             0.85925,             0.09942,             0.05073,             0.57996,             0.81992,               1.107,              1.2692,                 0.2,               4.122,                   0,             0.01438,              0.6853,             0.43686,                   0,             0.08773,             0.49177,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5667
             0.75886,             0.59524,             0.66418,             0.35922,             0.04798,           0.0039412,                   0,             0.00932,             0.11413,             0.92062,             0.00083,              3.5958,             0.81233,             0.09903,             0.05227,              0.5872,             0.82753,              1.1519,              1.2314,                 0.2,              3.8399,                   0,             0.01487,             0.67505,             0.40698,                   0,             0.08887,             0.49787,                   0,                   0,                   0,                 0.5,             0.90412,                   0,                   0,              2.3406
              0.7559,             0.59531,             0.65534,             0.34195,            0.053547,           0.0035736,                   0,             0.01175,             0.11466,             0.87367,             0.00067,              2.3743,             0.79908,             0.10251,             0.05641,             0.72093,             0.94822,              1.0971,              1.1522,                 0.2,              4.0444,                   0,             0.01047,                 0.9,             0.42865,                   0,              0.1053,             0.53975,                   0,                   0,                   0,                 0.5,             0.99383,                   0,                   0,              2.6149
